Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
,,,-1,100,,,,,BOLT,"Bolt Biotherapeutics, Inc.",26.31M,0.69,11.17M,-2.10%,-4.80%,-29.70%,-8.53%,-48.50%,Bolt Biotherapeutics Announces Board Reshuffle and New Appointment,Bolt Biotherapeutics names Brian O’Callaghan chairman,Bolt Biotherapeutics Announces Changes to its Board of Directors,Bolt Biotherapeutics to Participate in Upcoming September Conferences,Bolt Biotherapeutics: Hold Rating Amid Clinical Delays and Restructuring Efforts,Bolt Biotherapeutics Announces Board Reshuffle and New Appointment Bolt Biotherapeutics names Brian O’Callaghan chairman Bolt Biotherapeutics Announces Changes to its Board of Directors Bolt Biotherapeutics to Participate in Upcoming September Conferences Bolt Biotherapeutics: Hold Rating Amid Clinical Delays and Restructuring Efforts,0,0,1,0,0,0
26.35M,"243,564",-2.28M,-1,25,1.700,,,"Aug 13, 2024",RAVE,"Rave Restaurant Group, Inc.",26.26M,1.80,11.84M,1.99%,-0.90%,-8.43%,-1.29%,-16.67%,Pizza Inn enters Master Franchise Agreement with Al Ruwad Hospitality,,,,,Pizza Inn enters Master Franchise Agreement with Al Ruwad Hospitality,0,0,-1,-1,-1,-1
20.63M,"192,398",-40.69M,-1,78,2.170,Strong Buy,24.00,"Aug 6, 2024",MDAI,"Spectral AI, Inc.",26.23M,1.49,22.53M,-3.46%,-11.23%,-28.07%,-11.98%,-38.24%,Northland Securities Remains a Buy on Spectral AI (MDAI),Spectral AI awarded additional funding from MTEC,Spectral AI Awarded Additional Funding from Medical Technology Enterprise Consortium to Support Ongoing Development of DeepView SnapShot M®,Spectral AI Completes Burn Center Enrollment for U.S. Burn Pivotal Study,Spectral AI completes burn center enrollment for U.S. Burn Pivotal Study,Northland Securities Remains a Buy on Spectral AI (MDAI) Spectral AI awarded additional funding from MTEC Spectral AI Awarded Additional Funding from Medical Technology Enterprise Consortium to Support Ongoing Development of DeepView SnapShot M® Spectral AI Completes Burn Center Enrollment for U.S. Burn Pivotal Study Spectral AI completes burn center enrollment for U.S. Burn Pivotal Study,0,0,0,0,0,0
76.91M,"1,809,242",-37.28M,-1,62,0.582,Strong Buy,10.00,"Aug 12, 2024",KFFB,Kentucky First Federal Bancorp,26.20M,3.24,7.30M,0.66%,2.72%,-13.99%,-7.65%,-19.49%,Kentucky First Federal Bancorp Announces Board Changes,,,,,Kentucky First Federal Bancorp Announces Board Changes,1,1,-1,-1,-1,-1
3.68M,102,"232,716",-1,55,12.14,,,,APDN,"Applied DNA Sciences, Inc.",26.16M,2.54,3.40M,169.67%,287.72%,-68.48%,+543.62%,-68.98%,Applied DNA Sciences receives subcontract award from LRQA,Applied DNA submits validation package to NYS Department of Health,Applied DNA Sciences rating updated to Under Review at H.C. Wainwright,"3 Penny Stocks to Watch Now, 8/20/24",Applied DNA Sciences to seek expansion of use of Linea Mpox Virus 1.0 Assay,"Applied DNA Sciences receives subcontract award from LRQA Applied DNA submits validation package to NYS Department of Health Applied DNA Sciences rating updated to Under Review at H.C. Wainwright 3 Penny Stocks to Watch Now, 8/20/24 Applied DNA Sciences to seek expansion of use of Linea Mpox Virus 1.0 Assay",0,0,0,0,0,0
,,,-1,97,,,,,SNAL,"Snail, Inc.",26.10M,0.71,73.27M,22.13%,13.55%,-7.64%,+17.28%,-10.29%,"Noble Financial Remains a Buy on Snail, Inc. Class A (SNAL)",,,,,"Noble Financial Remains a Buy on Snail, Inc. Class A (SNAL)",1,0,-1,-1,-1,-1
4.05M,"1,360","-216,090",-1,41,11.03,,,,USEG,U.S. Energy Corp.,26.02M,0.93,25.74M,-1.88%,-7.94%,-13.02%,-13.06%,-27.49%,US Energy CEO Ryan Smith’s Contract Extended with New Terms,,,,,US Energy CEO Ryan Smith’s Contract Extended with New Terms,1,1,-1,-1,-1,-1
,,,-1,369,,,,,HYFM,"Hydrofarm Holdings Group, Inc.",25.94M,0.56,210.32M,-9.29%,-20.34%,-39.04%,-24.68%,-51.63%,,,,,,,0,-1,-1,-1,-1,-1
22.79M,"23,143",-61.16M,$0.34,127,2.000,,,"Aug 8, 2024",CHR,"Cheer Holding, Inc.",25.92M,2.52,155.95M,-8.25%,-6.67%,-13.03%,-16.56%,-6.10%,Cheer Holding Releasing the AI-based Classical Literature Series – Liaozhai Tales,Cheer Holding releases AI-based Liaozhai Tales classical literature series,Cheer Holding Unveils Key Decisions Post AGM,Cheer Holding Announces Results of 2024 Annual General Meeting,Cheer Holding granted patent in China for AI operation data management system,Cheer Holding Releasing the AI-based Classical Literature Series – Liaozhai Tales Cheer Holding releases AI-based Liaozhai Tales classical literature series Cheer Holding Unveils Key Decisions Post AGM Cheer Holding Announces Results of 2024 Annual General Meeting Cheer Holding granted patent in China for AI operation data management system,0,0,0,1,0,0
14.35M,"28,481",1.99M,-1,,3.110,Strong Buy,21.00,"Sep 3, 2024",MKDW,MKDWELL Tech Inc.,25.87M,1.34,-,-32.69%,-79.71%,-86.94%,,,,,,,,,1,-1,-1,-1,-1,-1
3.94M,417,1.31M,-1,71,11.30,,,,ENLV,Enlivex Therapeutics Ltd.,25.69M,1.23,-,-0.89%,-6.43%,-41.96%,-5.97%,-68.50%,Enlivex Therapeutics Financials Indicate Net Loss,,,,,Enlivex Therapeutics Financials Indicate Net Loss,1,0,-1,-1,-1,-1
,,,-1,,,,,,YYGH,YY Group Holding Limited,25.47M,0.74,31.77M,-5.04%,-3.81%,-33.60%,-27.88%,,YY Group Announces Board of Directors Reshuffle,,,,,YY Group Announces Board of Directors Reshuffle,0,0,-1,-1,-1,-1
29.30M,"165,202",1.05M,-1,50,1.530,,,"Sep 3, 2024",ZOOZ,ZOOZ Power Ltd.,25.34M,2.10,506.66K,0.62%,-4.16%,-17.47%,+4.96%,,ZOOZ Power Appoints Erez Zimerman as New CEO,ZOOZ Power appoints Zimerman as new CEO,"ZOOZ Power Reports Financial Results for the Six Months Ended June 30, 2024",ZOOZ Power reports 1H EPS (59c) vs. (91c) last year,,"ZOOZ Power Appoints Erez Zimerman as New CEO ZOOZ Power appoints Zimerman as new CEO ZOOZ Power Reports Financial Results for the Six Months Ended June 30, 2024 ZOOZ Power reports 1H EPS (59c) vs. (91c) last year",1,0,0,0,0,-1
26.81M,"206,620",-131.56M,-1,601,1.660,Strong Buy,9.50,"Jul 31, 2024",DALN,DallasNews Corporation,25.16M,4.70,131.65M,-2.00%,12.49%,8.74%,-4.73%,+13.63%,,,,,,,0,-1,-1,-1,-1,-1
10.00M,"21,552","-511,000",-1,40,4.450,Strong Buy,7.50,"Aug 8, 2024",VSEE,"VSee Health, Inc.",25.12M,1.71,5.74M,-28.53%,-70.38%,-84.55%,-35.74%,-87.11%,,,,,,,1,-1,-1,-1,-1,-1
31.04M,"44,102",-15.80M,-1,"2,744",1.430,Hold,5.00,"Aug 13, 2024",PMEC,Primech Holdings Ltd.,25.11M,0.66,72.52M,-7.74%,2.18%,-58.92%,-25.81%,-18.99%,Primech Holdings Shareholders Approve Key Resolutions,,,,,Primech Holdings Shareholders Approve Key Resolutions,1,1,-1,-1,-1,-1
53.99M,"201,510",-54.15M,-1,31,0.819,Strong Buy,4.25,"Aug 12, 2024",INAB,"IN8bio, Inc.",25.03M,0.54,-,-22.04%,-34.31%,-51.89%,-37.49%,-52.27%,IN8bio Revises Executive Compensation and Severance Terms,"IN8bio suspends patient enrollment in INB-400, to focus on INB-100",IN8bio to reduce workforce by 49%,IN8bio Announces Clinical Pipeline Prioritization to Focus on INB-100 for Acute Myeloid Leukemia,IN8bio to Present at the H.C. Wainwright 26th Annual Global Investment Conference,"IN8bio Revises Executive Compensation and Severance Terms IN8bio suspends patient enrollment in INB-400, to focus on INB-100 IN8bio to reduce workforce by 49% IN8bio Announces Clinical Pipeline Prioritization to Focus on INB-100 for Acute Myeloid Leukemia IN8bio to Present at the H.C. Wainwright 26th Annual Global Investment Conference",1,1,0,0,1,0
3.90M,107,"647,142",-1,25,11.31,,,,LSTA,"Lisata Therapeutics, Inc.",24.96M,3.00,-,-4.84%,-13.30%,-3.65%,-14.48%,-8.94%,Lisata Therapeutics granted FDA Orphan Drug Designation for certepetide,Lisata Therapeutics’ Certepetide Granted FDA Orphan Drug Designation for the Treatment of Cholangiocarcinoma,Lisata Therapeutics: Strong Buy Rating on Robust Financials and Promising Clinical Trials,Lisata Therapeutics Announces Q2 2024 Financial Results,LSTA Earnings this Week: How Will it Perform?,Lisata Therapeutics granted FDA Orphan Drug Designation for certepetide Lisata Therapeutics’ Certepetide Granted FDA Orphan Drug Designation for the Treatment of Cholangiocarcinoma Lisata Therapeutics: Strong Buy Rating on Robust Financials and Promising Clinical Trials Lisata Therapeutics Announces Q2 2024 Financial Results LSTA Earnings this Week: How Will it Perform?,1,1,1,1,0,0
,,,-1,32,,,,,ACST,Acasti Pharma Inc.,24.84M,2.45,-,-0.50%,-11.30%,-11.32%,-6.30%,-25.59%,Acasti to Participate in the H.C. Wainwright 26th Annual Global Investment Conference,Acasti Pharma Appoints Prashant Kohli as CEO with Incentives,Craig-Hallum Issues a Buy Rating on Acasti Pharma (ACST),,,Acasti to Participate in the H.C. Wainwright 26th Annual Global Investment Conference Acasti Pharma Appoints Prashant Kohli as CEO with Incentives Craig-Hallum Issues a Buy Rating on Acasti Pharma (ACST),0,0,0,0,-1,-1
49.60M,"31,285",8.20M,-1,,0.900,,,"Sep 3, 2024",NVA,Nova Minerals Limited,24.80M,6.19,32.33K,14.08%,15.50%,15.50%,+17.65%,,"Nova Minerals Collects Bulk Antimony Material for Test Work at its Estelle Gold-Antimony Project, in Alaska",Nova Minerals Eyes Fast-Track Antimony Production,"Nova Minerals Provides an Update on its Estelle Gold-Antimony Project, in Alaska",Nova Minerals Advances Gold Project Amid High Prices,Nova Minerals to Present at Investor Conference,"Nova Minerals Collects Bulk Antimony Material for Test Work at its Estelle Gold-Antimony Project, in Alaska Nova Minerals Eyes Fast-Track Antimony Production Nova Minerals Provides an Update on its Estelle Gold-Antimony Project, in Alaska Nova Minerals Advances Gold Project Amid High Prices Nova Minerals to Present at Investor Conference",0,0,0,0,0,0
19.53M,"35,930","-309,000",-1,58,2.250,Buy,3.33,"Aug 8, 2024",BIOR,"Biora Therapeutics, Inc.",24.73M,0.68,860.00K,5.56%,3.19%,-24.97%,+0.70%,-6.39%,Biora Therapeutics granted extension to regain compliance with Nasdaq,Biora Therapeutics: Outperforming with Strong Q2 Financials and Clinical Advancements,"Biora Therapeutics reports Q2 EPS (4c), consensus (45c)",Biora Therapeutics Restructures Debt and Issues New Securities,Biora Therapeutics Provides Corporate Update and Reports Second Quarter 2024 Financial Results,"Biora Therapeutics granted extension to regain compliance with Nasdaq Biora Therapeutics: Outperforming with Strong Q2 Financials and Clinical Advancements Biora Therapeutics reports Q2 EPS (4c), consensus (45c) Biora Therapeutics Restructures Debt and Issues New Securities Biora Therapeutics Provides Corporate Update and Reports Second Quarter 2024 Financial Results",1,1,1,0,1,0
16.52M,"26,557",-3.15M,$0.12,,2.650,,,"Oct 15, 2024",SUGP,SU Group Holdings Limited,24.70M,1.81,20.25M,-14.61%,-19.99%,-24.85%,-27.63%,-13.03%,,,,,,,0,-1,-1,-1,-1,-1
4.04M,"7,171","-165,714",-1,57,10.81,,,,SABS,"SAB Biotherapeutics, Inc.",24.55M,2.66,2.78M,-2.77%,-9.55%,-48.62%,+6.30%,-32.03%,SAB BIO to Present at the European Association for the Study of Diabetes 60th Annual Meeting,Buy Rating on SAB Biotherapeutics: Promising Developments in Type 1 Diabetes Treatment,SAB Biotherapeutics initiated with an Outperform at Oppenheimer,Analysts Offer Insights on Healthcare Companies: Sandoz Group Ltd (OtherSDZXF) and SAB Biotherapeutics (SABS),,SAB BIO to Present at the European Association for the Study of Diabetes 60th Annual Meeting Buy Rating on SAB Biotherapeutics: Promising Developments in Type 1 Diabetes Treatment SAB Biotherapeutics initiated with an Outperform at Oppenheimer Analysts Offer Insights on Healthcare Companies: Sandoz Group Ltd (OtherSDZXF) and SAB Biotherapeutics (SABS),0,0,1,0,0,-1
,,,-1,209,,,,,PSHG,Performance Shipping Inc.,24.49M,1.97,90.83M,3.84%,-0.26%,-0.44%,-5.74%,-8.37%,,,,,,,0,-1,-1,-1,-1,-1
21.04M,"30,831",-7.60M,-1,33,2.070,Strong Buy,5.25,"Aug 8, 2024",PSIG,PS International Group Ltd.,24.46M,0.97,140.02M,-29.36%,-85.25%,-90.88%,-27.88%,,,,,,,,1,-1,-1,-1,-1,-1
77.42M,"97,737",-14.08M,-1,9,0.562,Strong Buy,4.31,"Aug 19, 2024",SOHO,Sotherly Hotels Inc.,24.37M,1.25,178.34M,1.35%,2.27%,-8.34%,-1.56%,-9.68%,Sotherly Hotels price target lowered to $1.50 from $2 at Piper Sandler,Sotherly Hotels Faces NASDAQ Compliance Challenges,Sotherly Hotels Inc. Receives Notification of Deficiency From Nasdaq Related to Delayed Filing of Quarterly Report on Form 10-Q,"Sotherly Hotels sees 2024 adjusted FFO 64c-69c, consensus 64c",,"Sotherly Hotels price target lowered to $1.50 from $2 at Piper Sandler Sotherly Hotels Faces NASDAQ Compliance Challenges Sotherly Hotels Inc. Receives Notification of Deficiency From Nasdaq Related to Delayed Filing of Quarterly Report on Form 10-Q Sotherly Hotels sees 2024 adjusted FFO 64c-69c, consensus 64c",0,0,0,0,0,-1
73.89M,"322,464",-44.02M,-1,100,0.589,Buy,2.35,"Aug 8, 2024",DAIO,Data I/O Corporation,24.36M,2.64,24.60M,5.91%,-1.07%,-13.75%,-0.77%,-30.00%,,,,,,,0,-1,-1,-1,-1,-1
29.97M,"172,170",,-1,8,1.500,,,,RNXT,"RenovoRx, Inc.",24.22M,1.01,-,-14.74%,-18.19%,-20.69%,-16.67%,-13.42%,"RenovoRx CEO Shaun Bagai to Present at H.C. Wainwright’s 26th Annual Global Investment Conference on September 9, 2024 in New York",Buy Rating Backed by RenovoRx’s Clinical Advancements and Sustained Financial Health,RenovoRx announces first patient enrolled at UNMC for Phase III TIGeR-PaC trial,RenovoRx Announces First Patient Enrolled at University of Nebraska Medical Center for the Ongoing Pivotal Phase III TIGeR-PaC Clinical Trial,"Is RNXT a Buy, Before Earnings?","RenovoRx CEO Shaun Bagai to Present at H.C. Wainwright’s 26th Annual Global Investment Conference on September 9, 2024 in New York Buy Rating Backed by RenovoRx’s Clinical Advancements and Sustained Financial Health RenovoRx announces first patient enrolled at UNMC for Phase III TIGeR-PaC trial RenovoRx Announces First Patient Enrolled at University of Nebraska Medical Center for the Ongoing Pivotal Phase III TIGeR-PaC Clinical Trial Is RNXT a Buy, Before Earnings?",1,0,1,0,0,1
,,,-1,16,,,,,NMTC,NeuroOne Medical Technologies Corporation,24.15M,0.78,3.92M,4.26%,-2.75%,-30.47%,+2.69%,-37.89%,NeuroOne® to Present at the H.C. Wainwright 26th Annual Global Investment Conference,NeuroOne Medical files to sell 5.55M shares of common stock for holders,NeuroOne® Reports Third Quarter Fiscal Year 2024 Financial Results and Provides Corporate Update,NeuroOne® to Report Third Quarter Fiscal Year 2024 Financial Results and Provide Corporate Update on August 14,,NeuroOne® to Present at the H.C. Wainwright 26th Annual Global Investment Conference NeuroOne Medical files to sell 5.55M shares of common stock for holders NeuroOne® Reports Third Quarter Fiscal Year 2024 Financial Results and Provides Corporate Update NeuroOne® to Report Third Quarter Fiscal Year 2024 Financial Results and Provide Corporate Update on August 14,1,0,0,0,0,-1
58.55M,"524,617",-25.96M,-1,34,0.740,Strong Buy,2.33,"Aug 7, 2024",CACO,Caravelle International Group,24.05M,0.43,133.78M,-9.10%,-23.49%,-36.90%,-11.54%,-36.33%,Caravelle International Gains CPA Firm’s Support,Caravelle International Simplifies Capital Structure,,,,Caravelle International Gains CPA Firm’s Support Caravelle International Simplifies Capital Structure,0,0,1,-1,-1,-1
10.75M,"24,633",-12.59M,-1,116,4.110,Strong Buy,20.50,"Aug 12, 2024",GP,GreenPower Motor Company Inc.,23.93M,0.91,24.69M,0.68%,-12.08%,-53.45%,-12.21%,-48.42%,GreenPower Motor Reveals Executive Compensation Strategy,GreenPower Motor price target lowered to $1.65 from $3 at Roth MKM,GreenPower Motor (GPV) Receives a Buy from Roth MKM,GreenPower Motor (GPV) Receives a Hold from BTIG,GreenPower Boosts California Schools with Electric Buses,GreenPower Motor Reveals Executive Compensation Strategy GreenPower Motor price target lowered to $1.65 from $3 at Roth MKM GreenPower Motor (GPV) Receives a Buy from Roth MKM GreenPower Motor (GPV) Receives a Hold from BTIG GreenPower Boosts California Schools with Electric Buses,1,1,1,1,0,1
93.51M,"1,050,748",-115.46M,-1,109,0.460,Buy,3.17,"Aug 8, 2024",IZM,ICZOOM Group Inc.,23.87M,2.17,181.92M,-0.42%,2.38%,-71.97%,-1.85%,-89.18%,ICZOOM Group Back in Nasdaq Compliance,ICZOOM regains compliance with Nasdaq’s annual shareholder meeting requirement,ICZOOM Group Strengthens Governance and Flexibility,,,ICZOOM Group Back in Nasdaq Compliance ICZOOM regains compliance with Nasdaq’s annual shareholder meeting requirement ICZOOM Group Strengthens Governance and Flexibility,0,0,0,1,-1,-1
28.62M,"6,549",-21.64M,-1,50,1.360,Strong Buy,5.00,"Sep 3, 2024",PIRS,"Pieris Pharmaceuticals, Inc.",23.86M,18.07,20.87M,5.77%,43.89%,33.93%,+3.25%,+24.71%,,,,,,,1,-1,-1,-1,-1,-1
6.54M,"14,876",-35.18M,-1,34,6.50,,,"Aug 23, 2024",FEMY,Femasys Inc.,23.79M,1.07,950.10K,2.05%,-1.86%,-10.25%,-7.08%,-37.87%,Femasys to exhibit at CFAS Annual Meeting,Femasys to Exhibit at The Canadian Fertility and Andrology Society’s 70th Annual Meeting,Femasys to Participate in Fireside Chat at the H.C. Wainwright 26th Annual Global Investment Conference,"Femasys announces CE Mark, Canadian approval of FemVue MINI","Femasys Announces CE Mark and Canadian Approval for FemVue® MINI, a Fallopian Tube Assessment Solution","Femasys to exhibit at CFAS Annual Meeting Femasys to Exhibit at The Canadian Fertility and Andrology Society’s 70th Annual Meeting Femasys to Participate in Fireside Chat at the H.C. Wainwright 26th Annual Global Investment Conference Femasys announces CE Mark, Canadian approval of FemVue MINI Femasys Announces CE Mark and Canadian Approval for FemVue® MINI, a Fallopian Tube Assessment Solution",0,1,0,0,0,0
8.00M,"13,049",-48.60M,-1,204,5.36,Buy,15.00,"Aug 13, 2024",FPAY,"FlexShopper, Inc.",23.67M,1.10,127.36M,-1.68%,-6.17%,-13.66%,-4.05%,-21.69%,FlexShopper to Present at H.C. Wainwright’s 26th Annual Global Investor Conference,FlexShopper partners with Terrace Finance to expand merchant opportunities,FlexShopper Partners with Terrace Finance to Expand Merchant Opportunities,FlexShopper partners with PayTomorrow to enhance consumer payment options,FlexShopper Partners with PayTomorrow to Enhance Consumer Payment Options,FlexShopper to Present at H.C. Wainwright’s 26th Annual Global Investor Conference FlexShopper partners with Terrace Finance to expand merchant opportunities FlexShopper Partners with Terrace Finance to Expand Merchant Opportunities FlexShopper partners with PayTomorrow to enhance consumer payment options FlexShopper Partners with PayTomorrow to Enhance Consumer Payment Options,1,0,1,1,0,0
29.48M,"16,948",-7.74M,-1,11,1.470,Strong Buy,6.00,"Aug 13, 2024",VRAX,Virax Biolabs Group Limited,23.66M,5.45,156.42K,101.88%,182.71%,273.05%,+291.16%,+493.90%,Virax Biolabs signs distribution agreement for Mpox virus detection kits,Virax Biolabs Group Ltd trading resumes,"Virax Biolabs Group Ltd trading halted, volatility trading pause",Virax Biolabs Introduces New Share Purchase Warrant,Virax Biolabs to sell 1.108M shares at $4.50 in registered direct offering,"Virax Biolabs signs distribution agreement for Mpox virus detection kits Virax Biolabs Group Ltd trading resumes Virax Biolabs Group Ltd trading halted, volatility trading pause Virax Biolabs Introduces New Share Purchase Warrant Virax Biolabs to sell 1.108M shares at $4.50 in registered direct offering",0,0,0,0,0,0
6.40M,"13,273","33,000",-1,610,6.62,,,"Jul 30, 2024",GDHG,Golden Heaven Group Holdings Ltd.,23.59M,0.12,25.55M,-9.93%,-26.42%,-95.39%,-31.37%,-66.06%,Golden Heaven granted plot in China for amusement complex,"Golden Heaven receives delisting determination from Nasdaq, intends to appeal",Golden Heaven Group Holdings Ltd. Announces Receipt of Nasdaq Delisting Determination and Plans to Appeal,Golden Heaven Group Plans Share Structure Changes,,"Golden Heaven granted plot in China for amusement complex Golden Heaven receives delisting determination from Nasdaq, intends to appeal Golden Heaven Group Holdings Ltd. Announces Receipt of Nasdaq Delisting Determination and Plans to Appeal Golden Heaven Group Plans Share Structure Changes",1,1,1,1,1,-1
